"decimalLatitude","decimalLongitude","eventDate","scientific_name","url","image_url"
34.66205,33.042501,2020-05-20,"Portunus segnis","https://www.inaturalist.org/observations/53027529","https://static.inaturalist.org/photos/84325376/medium.jpg"
34.66205,33.042501,2020-05-20,"Portunus segnis","https://www.inaturalist.org/observations/52347526","https://static.inaturalist.org/photos/83210715/medium.jpg"
35.0374191073,34.0399469696,2019-08-13,"Portunus segnis","https://www.inaturalist.org/observations/30753398","https://static.inaturalist.org/photos/48071629/medium.jpg"
37.3211466667,27.401005,2018-05-28,"Portunus segnis","https://www.inaturalist.org/observations/14140173","https://static.inaturalist.org/photos/20952533/medium.jpeg"
37.3211466667,27.401005,2018-05-28,"Portunus segnis","https://www.inaturalist.org/observations/13338361","https://static.inaturalist.org/photos/19544369/medium.jpeg"
31.912563,35.221717,2012-02-03,"Portunus segnis","https://www.inaturalist.org/observations/12702233","https://inaturalist-open-data.s3.amazonaws.com/photos/18391394/medium.jpg"
41.25755,23.2202916667,2024-05-16,"Callinectes sapidus","https://www.inaturalist.org/observations/244138698","https://inaturalist-open-data.s3.amazonaws.com/photos/435427945/medium.jpeg"
39.1825333333,26.2967055556,2024-09-25,"Callinectes sapidus","https://www.inaturalist.org/observations/244029029","https://inaturalist-open-data.s3.amazonaws.com/photos/435229856/medium.jpeg"
43.9123305556,10.2082888889,2024-09-25,"Callinectes sapidus","https://www.inaturalist.org/observations/243998686","https://static.inaturalist.org/photos/435171183/medium.jpeg"
44.6537815,12.1052412997,2024-09-25,"Callinectes sapidus","https://www.inaturalist.org/observations/243943695","https://inaturalist-open-data.s3.amazonaws.com/photos/435067096/medium.jpeg"
39.1503055,9.0200833333,2024-09-24,"Callinectes sapidus","https://www.inaturalist.org/observations/243863521","https://inaturalist-open-data.s3.amazonaws.com/photos/434904453/medium.jpeg"
39.1502916667,9.0200888333,2024-09-24,"Callinectes sapidus","https://www.inaturalist.org/observations/243863482","https://inaturalist-open-data.s3.amazonaws.com/photos/434904394/medium.jpeg"
42.0071649,3.1970060617,2024-09-24,"Callinectes sapidus","https://www.inaturalist.org/observations/243767346","https://inaturalist-open-data.s3.amazonaws.com/photos/434725128/medium.jpeg"
41.6799568848,9.3694117207,2024-09-23,"Callinectes sapidus","https://www.inaturalist.org/observations/243666652","https://inaturalist-open-data.s3.amazonaws.com/photos/434524184/medium.jpg"
44.6629354405,12.1853945777,2024-08-23,"Callinectes sapidus","https://www.inaturalist.org/observations/243539932","https://inaturalist-open-data.s3.amazonaws.com/photos/434282900/medium.jpeg"
40.6478704,0.73862045,2024-09-21,"Callinectes sapidus","https://www.inaturalist.org/observations/243475703","https://inaturalist-open-data.s3.amazonaws.com/photos/434155957/medium.jpeg"
45.002490969,13.7236277014,2024-09-20,"Callinectes sapidus","https://www.inaturalist.org/observations/242945639","https://inaturalist-open-data.s3.amazonaws.com/photos/433148355/medium.jpeg"
42.0035917677,3.1976350397,2024-09-20,"Callinectes sapidus","https://www.inaturalist.org/observations/242846945","https://inaturalist-open-data.s3.amazonaws.com/photos/432968497/medium.jpeg"
39.9462063746,4.2652465832,2024-09-19,"Callinectes sapidus","https://www.inaturalist.org/observations/242735167","https://inaturalist-open-data.s3.amazonaws.com/photos/432751909/medium.jpeg"
36.7981234948,5.6773178279,2024-09-14,"Callinectes sapidus","https://www.inaturalist.org/observations/242659946","https://inaturalist-open-data.s3.amazonaws.com/photos/432616179/medium.jpeg"
32.7062973,34.9424273997,2024-09-18,"Callinectes sapidus","https://www.inaturalist.org/observations/242502208","https://static.inaturalist.org/photos/432315595/medium.jpeg"
32.7062973,34.9424273997,2024-09-18,"Callinectes sapidus","https://www.inaturalist.org/observations/242438742","https://static.inaturalist.org/photos/432218835/medium.jpeg"
40.6536150378,0.6858118982,2024-08-13,"Callinectes sapidus","https://www.inaturalist.org/observations/242260569","https://static.inaturalist.org/photos/431886005/medium.jpg"
36.8231757295,28.6201687689,2024-09-14,"Callinectes sapidus","https://www.inaturalist.org/observations/242255162","https://inaturalist-open-data.s3.amazonaws.com/photos/431877110/medium.jpeg"
38.9850518117,-0.1721901074,2024-09-15,"Callinectes sapidus","https://www.inaturalist.org/observations/241929412","https://static.inaturalist.org/photos/431237798/medium.jpeg"
42.0207591355,9.4722780492,2024-09-15,"Callinectes sapidus","https://www.inaturalist.org/observations/241869079","https://static.inaturalist.org/photos/431126938/medium.jpeg"
42.0218701304,9.4698574394,2024-09-15,"Callinectes sapidus","https://www.inaturalist.org/observations/241860107","https://static.inaturalist.org/photos/431111164/medium.jpeg"
36.7844084,3.0649063,2024-08-30,"Callinectes sapidus","https://www.inaturalist.org/observations/241833541","https://inaturalist-open-data.s3.amazonaws.com/photos/431061723/medium.jpg"
35.779605,10.83328,2024-09-15,"Callinectes sapidus","https://www.inaturalist.org/observations/241828031","https://inaturalist-open-data.s3.amazonaws.com/photos/431050448/medium.jpeg"
44.72543093,12.24135567,2024-09-15,"Callinectes sapidus","https://www.inaturalist.org/observations/241822471","https://inaturalist-open-data.s3.amazonaws.com/photos/431040538/medium.jpeg"
41.7137234006,9.4043159604,2024-09-14,"Callinectes sapidus","https://www.inaturalist.org/observations/241686950","https://static.inaturalist.org/photos/430771649/medium.jpeg"
36.7418755234,5.7514278411,2024-09-13,"Callinectes sapidus","https://www.inaturalist.org/observations/241662154","https://inaturalist-open-data.s3.amazonaws.com/photos/430726967/medium.jpeg"
36.7599462775,5.7497145401,2024-09-13,"Callinectes sapidus","https://www.inaturalist.org/observations/241658988","https://inaturalist-open-data.s3.amazonaws.com/photos/430726372/medium.jpeg"
36.7923495922,5.7877660171,2024-09-13,"Callinectes sapidus","https://www.inaturalist.org/observations/241657510","https://inaturalist-open-data.s3.amazonaws.com/photos/430718563/medium.jpeg"
36.7059199069,5.7934847991,2024-09-13,"Callinectes sapidus","https://www.inaturalist.org/observations/241655301","https://inaturalist-open-data.s3.amazonaws.com/photos/430714674/medium.jpeg"
36.7947648844,28.6053786293,2024-09-12,"Callinectes sapidus","https://www.inaturalist.org/observations/241539298","https://inaturalist-open-data.s3.amazonaws.com/photos/430490960/medium.jpeg"
36.7984268684,5.67803666,2024-09-13,"Callinectes sapidus","https://www.inaturalist.org/observations/241496931","https://inaturalist-open-data.s3.amazonaws.com/photos/430410268/medium.jpeg"
44.410221,8.926671,2024-09-06,"Callinectes sapidus","https://www.inaturalist.org/observations/241309191","https://inaturalist-open-data.s3.amazonaws.com/photos/430043365/medium.jpg"
41.9179466667,19.2631583333,2024-08-09,"Callinectes sapidus","https://www.inaturalist.org/observations/241287577","https://static.inaturalist.org/photos/430009530/medium.jpeg"
43.4246782563,6.8579725592,2024-08-17,"Callinectes sapidus","https://www.inaturalist.org/observations/241271083","https://inaturalist-open-data.s3.amazonaws.com/photos/429972031/medium.jpeg"
43.4251101066,6.8567690051,2024-08-17,"Callinectes sapidus","https://www.inaturalist.org/observations/241262601","https://inaturalist-open-data.s3.amazonaws.com/photos/429963043/medium.jpg"
40.6537145438,0.6859270903,2024-09-03,"Callinectes sapidus","https://www.inaturalist.org/observations/241255633","https://inaturalist-open-data.s3.amazonaws.com/photos/429946855/medium.jpeg"
36.8449783333,28.2576866667,2024-09-12,"Callinectes sapidus","https://www.inaturalist.org/observations/241250602","https://static.inaturalist.org/photos/429939653/medium.jpeg"
45.5273416961,12.7207349986,2024-09-12,"Callinectes sapidus","https://www.inaturalist.org/observations/241245320","https://static.inaturalist.org/photos/429929018/medium.jpeg"
45.6001992,12.8874114,2024-09-11,"Callinectes sapidus","https://www.inaturalist.org/observations/241150007","https://inaturalist-open-data.s3.amazonaws.com/photos/429736904/medium.png"
42.1100367,11.7734559997,2024-09-11,"Callinectes sapidus","https://www.inaturalist.org/observations/241070775","https://inaturalist-open-data.s3.amazonaws.com/photos/429593990/medium.jpeg"
44.2218818665,12.3859052658,2024-09-09,"Callinectes sapidus","https://www.inaturalist.org/observations/240794534","https://static.inaturalist.org/photos/429058385/medium.jpeg"
44.2217941284,12.3858194351,2024-09-09,"Callinectes sapidus","https://www.inaturalist.org/observations/240794472","https://static.inaturalist.org/photos/429056616/medium.jpeg"
39.7462199435,20.0206480893,2024-09-04,"Callinectes sapidus","https://www.inaturalist.org/observations/240559968","https://inaturalist-open-data.s3.amazonaws.com/photos/428595471/medium.jpeg"
39.7462199435,20.0206480893,2024-09-04,"Callinectes sapidus","https://www.inaturalist.org/observations/240559912","https://inaturalist-open-data.s3.amazonaws.com/photos/428589342/medium.jpeg"
45.5437457161,12.7649257332,2024-09-08,"Callinectes sapidus","https://www.inaturalist.org/observations/240519395","https://inaturalist-open-data.s3.amazonaws.com/photos/428524027/medium.jpeg"
44.2109518408,12.3973159119,2023-08-21,"Callinectes sapidus","https://www.inaturalist.org/observations/240515238","https://static.inaturalist.org/photos/428516459/medium.jpeg"
40.3298207917,19.4603574648,2024-09-08,"Callinectes sapidus","https://www.inaturalist.org/observations/240433962","https://inaturalist-open-data.s3.amazonaws.com/photos/428356202/medium.jpeg"
40.765341615,0.7499617338,2024-09-07,"Callinectes sapidus","https://www.inaturalist.org/observations/240406766","https://inaturalist-open-data.s3.amazonaws.com/photos/428303504/medium.jpeg"
40.6423189504,0.7373865321,2024-09-07,"Callinectes sapidus","https://www.inaturalist.org/observations/240377273","https://inaturalist-open-data.s3.amazonaws.com/photos/428246707/medium.jpeg"
41.0231404345,13.9292736724,2024-09-07,"Callinectes sapidus","https://www.inaturalist.org/observations/240349981","https://inaturalist-open-data.s3.amazonaws.com/photos/428194859/medium.jpeg"
44.6432058885,12.2594999894,2023-06-01,"Callinectes sapidus","https://www.inaturalist.org/observations/240288601","https://inaturalist-open-data.s3.amazonaws.com/photos/428084455/medium.jpeg"
44.833796766,12.4394480512,2024-09-07,"Callinectes sapidus","https://www.inaturalist.org/observations/240273814","https://inaturalist-open-data.s3.amazonaws.com/photos/428054454/medium.jpeg"
43.6597216667,15.951055,2024-09-06,"Callinectes sapidus","https://www.inaturalist.org/observations/240161897","https://static.inaturalist.org/photos/427830815/medium.jpeg"
42.2150563998,14.5840499946,2024-09-05,"Callinectes sapidus","https://www.inaturalist.org/observations/240128552","https://inaturalist-open-data.s3.amazonaws.com/photos/427770148/medium.jpg"
39.5878,19.9135972222,2024-09-05,"Callinectes sapidus","https://www.inaturalist.org/observations/239968315","https://static.inaturalist.org/photos/427466296/medium.jpeg"
42.9765777778,3.0443444444,2024-09-04,"Callinectes sapidus","https://www.inaturalist.org/observations/239951437","https://inaturalist-open-data.s3.amazonaws.com/photos/427433938/medium.jpeg"
36.936594228,25.4740927473,2024-09-04,"Callinectes sapidus","https://www.inaturalist.org/observations/239865982","https://inaturalist-open-data.s3.amazonaws.com/photos/427264971/medium.jpeg"
